t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.2	-4.76833	-4.57038	-4.95123
-3.1998	-4.76818	-4.57049	-4.95158
-3.1996	-4.76787	-4.57048	-4.9521
-3.1994	-4.76774	-4.57041	-4.95255
-3.1992	-4.76757	-4.57055	-4.95317
-3.199	-4.76735	-4.57065	-4.95373
-3.1988	-4.76734	-4.57074	-4.95383
-3.1986	-4.7679	-4.57081	-4.95357
-3.1984	-4.76871	-4.57059	-4.95295
-3.1982	-4.76956	-4.57064	-4.9519
-3.198	-4.77032	-4.57092	-4.95117
-3.1978	-4.77102	-4.57118	-4.9504
-3.1976	-4.77159	-4.57134	-4.94976
-3.1974	-4.7721	-4.57158	-4.94922
-3.1972	-4.77259	-4.57169	-4.94869
-3.197	-4.77301	-4.57171	-4.94816
-3.1968	-4.77336	-4.57182	-4.94757
-3.1966	-4.77376	-4.57178	-4.94728
-3.1964	-4.7741	-4.57158	-4.94684
-3.1962	-4.77445	-4.57146	-4.94643
-3.196	-4.7743	-4.57142	-4.94605
-3.1958	-4.77403	-4.57174	-4.94558
-3.1956	-4.77392	-4.57206	-4.94519
-3.1954	-4.77383	-4.57231	-4.94482
-3.1952	-4.77379	-4.57277	-4.94441
-3.195	-4.7738	-4.57309	-4.94411
-3.1948	-4.77376	-4.57351	-4.94359
-3.1946	-4.77387	-4.57391	-4.94321
-3.1944	-4.77376	-4.57441	-4.94281
-3.1942	-4.7735	-4.57483	-4.94234
-3.194	-4.77306	-4.57554	-4.94179
-3.1938	-4.77252	-4.57616	-4.94177
-3.1936	-4.77199	-4.57675	-4.94185
-3.1934	-4.77198	-4.57703	-4.94216
-3.1932	-4.77207	-4.57697	-4.94238
-3.193	-4.77211	-4.57703	-4.94289
-3.1928	-4.77224	-4.57698	-4.94334
-3.1926	-4.77215	-4.57667	-4.94421
-3.1924	-4.77218	-4.57606	-4.94502
-3.1922	-4.77224	-4.5755	-4.94577
-3.192	-4.77238	-4.57496	-4.9465
-3.1918	-4.77235	-4.57448	-4.94708
-3.1916	-4.77249	-4.57394	-4.94761
-3.1914	-4.77262	-4.5733	-4.94822
-3.1912	-4.77275	-4.57289	-4.94885
-3.191	-4.77285	-4.57245	-4.94956
-3.1908	-4.77262	-4.57238	-4.95016
-3.1906	-4.77226	-4.57283	-4.95073
-3.1904	-4.77185	-4.57293	-4.95129
-3.1902	-4.77171	-4.57291	-4.95167
-3.19	-4.77138	-4.57298	-4.95224
-3.1898	-4.77106	-4.57284	-4.95278
-3.1896	-4.77093	-4.57289	-4.9533
-3.1894	-4.77111	-4.57282	-4.9537
-3.1892	-4.77141	-4.5729	-4.95363
-3.189	-4.77188	-4.57291	-4.9533
-3.1888	-4.77223	-4.57305	-4.95307
-3.1886	-4.77256	-4.57307	-4.95288
-3.1884	-4.77306	-4.57306	-4.95254
-3.1882	-4.77395	-4.57258	-4.95243
-3.188	-4.77464	-4.57192	-4.95225
-3.1878	-4.77538	-4.57144	-4.95222
-3.1876	-4.7759	-4.57093	-4.95198
-3.1874	-4.77631	-4.57038	-4.95164
-3.1872	-4.77672	-4.57005	-4.95098
-3.187	-4.77693	-4.56976	-4.95033
-3.1868	-4.77721	-4.56983	-4.94981
-3.1866	-4.77752	-4.57007	-4.94924
-3.1864	-4.77783	-4.57007	-4.94867
-3.1862	-4.7782	-4.57008	-4.94818
-3.186	-4.77852	-4.56994	-4.94773
-3.1858	-4.77849	-4.56997	-4.94707
-3.1856	-4.77816	-4.57051	-4.94654
-3.1854	-4.77809	-4.57108	-4.946
-3.1852	-4.77802	-4.57155	-4.94532
-3.185	-4.77782	-4.57183	-4.94475
-3.1848	-4.7776	-4.57227	-4.94426
-3.1846	-4.77717	-4.57276	-4.94408
-3.1844	-4.7765	-4.57296	-4.944
-3.1842	-4.77593	-4.57358	-4.94434
-3.184	-4.77547	-4.57396	-4.94453
-3.1838	-4.77498	-4.57438	-4.94481
-3.1836	-4.77465	-4.57496	-4.94501
-3.1834	-4.77409	-4.57573	-4.94516
-3.1832	-4.77398	-4.576	-4.9452
-3.183	-4.77414	-4.57589	-4.94538
-3.1828	-4.77435	-4.5759	-4.9455
