t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.2	-5.15781	-5.11871	-5.5123
-3.1998	-5.15782	-5.11866	-5.5123
-3.1996	-5.15802	-5.11869	-5.51236
-3.1994	-5.15789	-5.11875	-5.51249
-3.1992	-5.15788	-5.11874	-5.51271
-3.199	-5.15798	-5.11877	-5.51299
-3.1988	-5.158	-5.11889	-5.51319
-3.1986	-5.15799	-5.11906	-5.51329
-3.1984	-5.15796	-5.11918	-5.51314
-3.1982	-5.15809	-5.11928	-5.51288
-3.198	-5.15814	-5.11919	-5.51261
-3.1978	-5.15806	-5.11902	-5.51229
-3.1976	-5.15803	-5.11914	-5.51192
-3.1974	-5.15798	-5.11919	-5.51149
-3.1972	-5.1577	-5.11972	-5.51122
-3.197	-5.15766	-5.1201	-5.51097
-3.1968	-5.15747	-5.1205	-5.51059
-3.1966	-5.15739	-5.12093	-5.51044
-3.1964	-5.15728	-5.12115	-5.51025
-3.1962	-5.15717	-5.12145	-5.51022
-3.196	-5.15721	-5.12159	-5.5103
-3.1958	-5.15736	-5.12166	-5.51061
-3.1956	-5.1574	-5.12166	-5.51085
-3.1954	-5.15749	-5.12188	-5.51108
-3.1952	-5.15752	-5.12198	-5.51119
-3.195	-5.1577	-5.12201	-5.51136
-3.1948	-5.15772	-5.12172	-5.51142
-3.1946	-5.15781	-5.12138	-5.51139
-3.1944	-5.15784	-5.12108	-5.51129
-3.1942	-5.15779	-5.12076	-5.51124
-3.194	-5.15778	-5.1204	-5.51116
-3.1938	-5.15769	-5.12001	-5.5111
-3.1936	-5.15761	-5.11961	-5.51133
-3.1934	-5.15762	-5.11899	-5.51166
-3.1932	-5.15753	-5.11864	-5.512
-3.193	-5.15753	-5.11818	-5.51249
-3.1928	-5.15747	-5.11765	-5.51277
-3.1926	-5.15751	-5.11718	-5.51306
-3.1924	-5.15752	-5.11675	-5.51339
-3.1922	-5.15749	-5.11641	-5.51359
-3.192	-5.15747	-5.11633	-5.51371
-3.1918	-5.15739	-5.11626	-5.51425
-3.1916	-5.15732	-5.11598	-5.5144
-3.1914	-5.15703	-5.11581	-5.51476
-3.1912	-5.15677	-5.11568	-5.5151
-3.191	-5.15652	-5.11558	-5.5153
-3.1908	-5.15623	-5.11555	-5.51554
-3.1906	-5.15599	-5.11562	-5.5155
-3.1904	-5.15585	-5.11597	-5.51531
-3.1902	-5.15582	-5.11631	-5.51516
-3.19	-5.15565	-5.11687	-5.5151
-3.1898	-5.15555	-5.11714	-5.51507
-3.1896	-5.15558	-5.1171	-5.51497
-3.1894	-5.15549	-5.11709	-5.51476
-3.1892	-5.1556	-5.11715	-5.51443
-3.189	-5.15567	-5.11716	-5.51395
-3.1888	-5.1557	-5.11732	-5.51331
-3.1886	-5.15583	-5.11741	-5.51284
-3.1884	-5.15581	-5.11752	-5.51248
-3.1882	-5.15595	-5.1176	-5.51223
-3.188	-5.1561	-5.11786	-5.51227
-3.1878	-5.1562	-5.11804	-5.51194
-3.1876	-5.15614	-5.11792	-5.51162
-3.1874	-5.15607	-5.11788	-5.51127
-3.1872	-5.15605	-5.11788	-5.51104
-3.187	-5.15602	-5.11822	-5.51078
-3.1868	-5.15598	-5.11863	-5.51048
-3.1866	-5.15591	-5.11902	-5.51022
-3.1864	-5.15587	-5.11928	-5.50984
-3.1862	-5.15588	-5.11972	-5.50948
-3.186	-5.15584	-5.12013	-5.50908
-3.1858	-5.15586	-5.12064	-5.5088
-3.1856	-5.15593	-5.12119	-5.50816
-3.1854	-5.15596	-5.12142	-5.50768
-3.1852	-5.15599	-5.12187	-5.50715
-3.185	-5.15594	-5.12207	-5.50674
-3.1848	-5.15599	-5.12201	-5.50654
-3.1846	-5.156	-5.12162	-5.50679
-3.1844	-5.15589	-5.12123	-5.50711
-3.1842	-5.15604	-5.12091	-5.50771
-3.184	-5.1561	-5.12058	-5.50834
-3.1838	-5.15608	-5.12033	-5.50921
-3.1836	-5.15604	-5.12	-5.50978
-3.1834	-5.15601	-5.11972	-5.51041
-3.1832	-5.15605	-5.11948	-5.511
-3.183	-5.15609	-5.11918	-5.51139
-3.1828	-5.15609	-5.11883	-5.51204
-3.1826	-5.15612	-5.11835	-5.51251
-3.1824	-5.15617	-5.11801	-5.51311
-3.1822	-5.15619	-5.11758	-5.51345
-3.182	-5.15635	-5.11744	-5.5139
-3.1818	-5.15635	-5.11747	-5.51434
-3.1816	-5.1564	-5.11747	-5.51472
